gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000001817,200,159,126,0.795,0.63
ENSSSCG00000001818,21,12,3,0.5714285714285714,0.14285714285714285
ENSSSCG00000001819,29,11,8,0.3793103448275862,0.27586206896551724
ENSSSCG00000001820,13,0,0,0.0,0.0
ENSSSCG00000001821,19,4,0,0.21052631578947367,0.0
ENSSSCG00000001822,8,0,0,0.0,0.0
ENSSSCG00000001823,9,0,0,0.0,0.0
ENSSSCG00000001824,59,15,8,0.2542372881355932,0.13559322033898305
ENSSSCG00000001825,5,1,1,0.2,0.2
ENSSSCG00000001826,6,3,0,0.5,0.0
ENSSSCG00000001830,4,4,1,1.0,0.25
ENSSSCG00000001832,27,8,2,0.2962962962962963,0.07407407407407407
ENSSSCG00000001834,10,6,0,0.6,0.0
ENSSSCG00000001835,16,3,2,0.1875,0.125
ENSSSCG00000001837,9,3,0,0.3333333333333333,0.0
ENSSSCG00000001838,23,5,1,0.21739130434782608,0.043478260869565216
ENSSSCG00000001840,16,2,1,0.125,0.0625
ENSSSCG00000001841,26,10,1,0.38461538461538464,0.038461538461538464
ENSSSCG00000001844,10,9,0,0.9,0.0
ENSSSCG00000001846,4,0,0,0.0,0.0
ENSSSCG00000001847,17,3,0,0.17647058823529413,0.0
ENSSSCG00000001848,23,3,2,0.13043478260869565,0.08695652173913043
ENSSSCG00000001849,3,0,0,0.0,0.0
ENSSSCG00000001850,17,3,0,0.17647058823529413,0.0
ENSSSCG00000001852,12,0,0,0.0,0.0
ENSSSCG00000001858,15,0,0,0.0,0.0
ENSSSCG00000001862,3,0,0,0.0,0.0
ENSSSCG00000001863,15,2,2,0.13333333333333333,0.13333333333333333
ENSSSCG00000001865,1,1,1,1.0,1.0
ENSSSCG00000001866,6,1,1,0.16666666666666666,0.16666666666666666
ENSSSCG00000001867,11,4,3,0.36363636363636365,0.2727272727272727
ENSSSCG00000001868,4,1,1,0.25,0.25
