gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,coefficient
ENSSSCG00000000217,1607.9144061981958,-0.13675147647479435,1.6817333551042526,-0.08131579008035847,0.9351908169063335,0.9999642144719292,ENSSSCG00000000217,RACGAP1,condition[T.PA]
ENSSSCG00000000220,15.4530213459068,9.946776378346454,4.569908673777136,2.1765809972139363,0.029511844277858496,0.9999642144719292,ENSSSCG00000000220,POU6F1,condition[T.PA]
ENSSSCG00000000223,7.483572810637255,1.5063034001914652,4.065082840923317,0.3705467905911933,0.7109751197971139,0.9999642144719292,ENSSSCG00000000223,BIN2,condition[T.PA]
ENSSSCG00000000228,149.05354745543397,-3.0261770796641945,2.895609323337346,-1.0450916341767964,0.2959806201936521,0.9999642144719292,ENSSSCG00000000228,SCN8A,condition[T.PA]
ENSSSCG00000000233,3152.7525895602635,1.7964079738096814,1.917439680012549,0.9368784804734638,0.34882106976261906,0.9999642144719292,ENSSSCG00000000233,ACVR1B,condition[T.PA]
ENSSSCG00000000252,34.80403174971354,-5.44313780583121,7.83058027391347,-0.6951129565664877,,,ENSSSCG00000000252,KRT8,condition[T.PA]
ENSSSCG00000000253,30.210561305525825,-10.464539534043942,10.365127098445937,-1.0095910483927313,,,ENSSSCG00000000253,KRT18,condition[T.PA]
ENSSSCG00000000258,5.100053630514379,-4.857700059432365,6.749543359750948,-0.7197079566004314,0.47170482631924104,0.9999642144719292,ENSSSCG00000000258,RARG,condition[T.PA]
ENSSSCG00000000262,4.028352643153828,1.749677405667065,5.131566750743921,0.34096358688375533,0.7331309943554288,0.9999642144719292,ENSSSCG00000000262,SPRYD3,condition[T.PA]
ENSSSCG00000000263,8.603577803021102,-2.6547139461702893,6.070991918805178,-0.4372784516393754,0.6619094207467815,0.9999642144719292,ENSSSCG00000000263,TNS2,condition[T.PA]
ENSSSCG00000000265,245.3455801650751,-1.0142980154631922,2.122067588091939,-0.47797630063950985,0.6326670730730533,0.9999642144719292,ENSSSCG00000000265,ESPL1,condition[T.PA]
ENSSSCG00000000267,122.50105737289464,-2.4522541312542234,2.357027809263708,-1.0404010175935356,0.29815362914104215,0.9999642144719292,ENSSSCG00000000267,PFDN5,condition[T.PA]
ENSSSCG00000000268,443.31381507414056,-1.358983453865901,2.652634691594348,-0.5123145897820907,,,ENSSSCG00000000268,AAAS,condition[T.PA]
ENSSSCG00000000272,1405.4820104804483,-1.3548120423403174,2.52790923853762,-0.5359417267386023,0.5919988249929111,0.9999642144719292,ENSSSCG00000000272,SP1,condition[T.PA]
ENSSSCG00000000273,37.07579651440849,0.7771036723504765,4.616816405508503,0.16832024583504854,0.8663313472160621,0.9999642144719292,ENSSSCG00000000273,PRR13,condition[T.PA]
ENSSSCG00000000274,5891.806697083174,0.5251963250416836,1.7621033280588003,0.2980508104597134,0.7656643837529105,0.9999642144719292,ENSSSCG00000000274,PCBP2,condition[T.PA]
ENSSSCG00000000275,4570.928531219637,2.1812160411582338,2.2792620418455116,0.9569834451295077,,,ENSSSCG00000000275,MAP3K12,condition[T.PA]
ENSSSCG00000000278,11888.677216615719,0.6194985788580889,1.6633932262363675,0.3724306249940556,0.7095722557910489,0.9999642144719292,ENSSSCG00000000278,ATF7,condition[T.PA]
ENSSSCG00000000288,21797.289969542253,-0.19113135044403956,1.3360974965804633,-0.14305194862890688,0.8862491539726909,0.9999642144719292,ENSSSCG00000000288,HNRNPA1L3,condition[T.PA]
ENSSSCG00000000290,80.26745576221944,1.2493021906735717,2.574047865521162,0.4853453610586329,0.6274313835876393,0.9999642144719292,ENSSSCG00000000290,COPZ1,condition[T.PA]
ENSSSCG00000000293,1.0629045589462631,-5.89804370611108,8.010646709295473,-0.7362755992305903,0.46156299270848067,0.9999642144719292,ENSSSCG00000000293,ITGA5,condition[T.PA]
